id,name
1312.0,Park Avenue
1313.0,Coffey Street
1314.0,Fane Court South
1315.0,Locust Street
1316.0,Allen Avenue
1317.0,Bay 16th Street
1318.0,East 80th Street
1319.0,Lefferts Avenue
1320.0,Kingsborough 2nd Walk
1321.0,Creamer Street
1322.0,Brighton 10th Court
1323.0,Saint Jude Place
1324.0,Dock Street
1325.0,28th Street
1326.0,Van Siclen Avenue
1327.0,Argyle Road
1328.0,24th Avenue
1329.0,24th Avenue
1330.0,West 11th Street
1331.0,Crescent Street
1332.0,24th Avenue
1333.0,Crescent Street
1334.0,Bay Avenue
1335.0,Jackie Robinson Parkway
1336.0,Centre Mall
1337.0,Bay Avenue
1339.0,East Lake Drive
1340.0,East 72nd Street
1341.0,East 72nd Street
1342.0,Blake Court
1343.0,North Elliott Place
1344.0,51st Street
1345.0,51st Street
1346.0,East 53rd Street
1347.0,East 53rd Street
1348.0,Saint Andrews Place
1349.0,Seagate Terrace
1350.0,Stuyvesant Avenue
1351.0,Story Court
1352.0,East 59th Street
1353.0,East 59th Street
1354.0,9th Avenue
1355.0,9th Avenue
1356.0,Prospect Place
1357.0,Prospect Place
1358.0,Prospect Place
1359.0,Garden Street
1360.0,East 35th Street
1361.0,East 35th Street
1362.0,Russell Street
1363.0,East 35th Street
1364.0,East Way
1365.0,East 11th Street
1366.0,North 4th Street
